Species	Status
Kourisodon_puntledgensis	extinct
Krebsophis_thobanus	extinct
Kuroyuriella_mikikoi	extinct
Kuwajimalla_kagaensis	extinct
Labrodioctes_montanensis	extinct
Lacerta	extinct
Lacerta_filholi	extinct
Lacerta_poncenatensis	extinct
Lacerta_viridis	extant
Lacertidae	extinct
Lacertilia	extinct
Lacertoidea	extinct
Lamiasaura_ferox	extinct
Lampropeltis	extinct
Lampropeltis_calligaster	extinct
Lampropeltis_getulus	extant
Lampropeltis_intermedius	extinct
Lampropeltis_similis	extinct
Lampropeltis_triangulum	extinct
Laonogekko_lefevrei	extinct
Lapparentophis_defrennei	extinct
Latoplatecarpus_nichollsae	extinct
Latoplatecarpus_willistoni	extinct
Lavatisaurus_elegans	extinct
Leiocephalus	extinct
Leiodon	extinct
Leioheterodon	extinct
Leiosaurus_marellii	extinct
Lentisaurus_giganteus	extinct
Lepidophyma	extinct
Leptochamops	extinct
Leptochamops_denticulatus	extinct
Leptochamops_thrinax	extinct
Lestophis	extinct
Lestophis_anceps	extinct
Lestophis_crassus	extinct
Liaoningolacerta_brevirostra	extinct
Liasis_dubudingala	extinct
Lichanura	extinct
Liodon_validus	extinct
Listromycter_leakeyi	extinct
Litakis_gilmorei	extinct
Lithophis_sargenti	extinct
Liushusaurus_acanthocaudata	extinct
Lonchisaurus_trichurus	extinct
Lophocranion_rusingense	extinct
Louisamphisbaena_ferox	extinct
Lowesaurus_matthewi	extinct
Lumbrerasaurus_scagliai	extinct
Lunaophis_aquaticus	extinct
Machaerosaurus	extinct
Machaerosaurus_torrejonensis	extinct
Macrocephalosauridae	extinct
Macrocephalosaurus_sulimskii	extinct
Macroprotodon	extinct
Macrorhineura_skinneri	extinct
Macrostomata	extinct
Macrovipera_gedulyi	extinct
Madtsoia	extinct
Madtsoia_bai	extinct
Madtsoia_camposi	extinct
Madtsoia_madagascariensis	extinct
Madtsoia_pisdurensis	extinct
Madtsoiidae	extinct
Magnuviator_ovimonsensis	extinct
Malpolon	extinct
Malpolon_mlynarskii	extinct
Malpolon_monspessulanus	extinct
Masticophis	extinct
Mediolacerta_roceki	extinct
Melanosaurini	extinct
Melanosaurus	extinct
Melanosaurus_maximus	extinct
Menarana_laurasiae	extinct
Menarana_nosymena	extinct
Meniscognathus	extinct
Meniscognathus_altmani	extinct
Meniscognathus_molybrochoros	extinct
Mergenagama_paurosa	extinct
Merkurosaurus	extinct
Merkurosaurus_ornatus	extinct
Mesoleptos	extinct
Mesoleptos_zendrinii	extinct
Mesophis_nopcsai	extinct
Messelophis_variatus	extinct
Meyasaurus	extinct
Meyasaurus_crusafonti	extinct
Meyasaurus_diazromerali	extinct
Meyasaurus_faurai	extinct
Meyasaurus_unaensis	extinct
Michauxophis_occitanus	extinct
Micronatrix_juliescottae	extinct
Micrurus	extinct
Micrurus_gallicus	extinct
Mimeosaurus_crassus	extinct
Mimeosaurus_tugrikinensis	extinct
Mimobecklesisaurus_gansuensis	extinct
Miocoluber_dalquesti	extinct
Miolacerta	extinct
Miolacerta_tenuis	extinct
Mionatrix	extinct
Mongolochamops_reshetovi	extinct
Monocnemodon_syphakos	extinct
Morelia	extinct
Morelia_riversleighensis	extinct
Morelia_spilota	extinct
Morunasius_modestus	extinct
Mosasauria	extinct
