"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=squamata"
"Access Time","Mon 2017-03-13 02:55:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","squamata"
"","timerule","major"
"Elapsed Time","0.278"
"Records Found","718"
"Records Returned","718"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Glauconie de Lonzée","","""siliciclastic""","86.3","70.6","BE","1","1"
"str","","Golden Valley","","claystone","55.8","50.3","US","1","3"
"str","","Goleta","","","4.9","1.8","MX","1","1"
"str","","Good Creek","","","1.8","0.3","US","1","8"
"str","","Green River","","""shale""","50.3","46.2","US","5","6"
"str","","Green River","Douglas Creek","sandstone","50.3","46.2","US","1","9"
"str","","Green River","Fossil Butte","""limestone""","55.8","50.3","US","2","4"
"str","","Green River","Laney","","50.3","46.2","US","1","1"
"str","","Green River","Parachute Creek","siltstone","46.2","40.4","US","1","1"
"str","","Greenhorn Limestone","Hartland Shale","""limestone""","99.6","93.5","US","1","1"
"str","","Greensand","","sandstone","70.6","66","PL","1","1"
"str","","Grès à Reptiles","","claystone/sandstone,sandstone","83.5","70.6","FR","2","3"
"str","","Grund","","sandstone/siltstone","15.97","13.65","AT","1","3"
"str","","Grünsandstein","","sandstone","100.5","93.9","DE","1","2"
"str","","Guanjuato Conglomerate","lower","","50.3","40.4","MX","1","1"
"str","","Gulpen","Lanaye","grainstone,wackestone","72.1","66","NL","2","2"
"str","","Gulpen","Zeven Wegen","wackestone","83.5","70.6","BE","1","2"
"str","","Hainin","","claystone","66","61.6","BE","1","6"
"str","","Harrison","","","24.8","20.43","US","3","13"
"str","","Haslam","","""siliciclastic""","85.8","83.5","CA","1","1"
"str","","Headon Beds","","marl/claystone,packstone/claystone,claystone","37.2","33.9","UK","4","10"
"str","","Headon Hill","Totland Bay","","37.2","33.9","UK","1","9"
"str","","Hedi","","","37.2","33.9","CN","1","1"
"str","","Hedi","Zhaili","","37.2","33.9","CN","1","3"
"str","","Heimburg","","","83.5","70.6","DE","1","1"
"str","","Hell Creek","","sandstone,siltstone,mudstone","66","63.3","US","19","59"
"str","","Hell Creek","Pretty Butte","","72.1","66","US","1","1"
"str","","Henefer","","","89.8","83.6","US","1","1"
"str","","Hetaoyuan","","marl/siltstone","48.6","37.2","CN","1","3"
"str","","Hillgrove","","sandstone","0.126","0.0117","NZ","1","1"
"str","","Hiwegi","Fossil Bed","","23.03","15.97","KE","1","1"
"str","","Hsanda Gol","","mudstone","33.9","28.4","MN","9","19"
"str","","Hsanda Gol","Tatal","gravel","33.9","28.4","MN","1","1"
"str","","Huadian","III","""shale""/coal","47.8","41.3","CN","1","2"
"str","","Huerfano","","","50.3","46.2","US","6","13"
"str","","Ilek","","sandstone,sandstone/siltstone","125","100.5","RU","4","10"
"str","","In Beceten","","""shale""/sandstone","89.3","83.6","NE","1","3"
"str","","Intertrappean Beds","","mudstone","72.1","66","IN","1","5"
"str","","Iron Springs","","","85.8","70.6","US","2","3"
"str","","Ituzaingo","","sandstone/mudstone","9","6.8","AR","1","1"
"str","","Javkhlant","","sandstone","86.3","83.6","MN","1","1"
"str","","Jebel Qatrani","","sandstone/mudstone","33.9","28.1","EG","2","2"
"str","","Jibou","Rona","marl,""limestone""","59.2","56","RO","2","2"
"str","","Jiufotang","","","125.45","122.46","CN","1","1"
"str","","Jizera","","""limestone""","93.5","89.3","CZ","1","1"
"str","","John Day","","","30.8","20.43","US","1","1"
"str","","John Day","Haystack Valley","tuff/siltstone","30.8","20.43","US","1","1"
"str","","John Day","Kimberly","","30.8","20.43","US","1","1"
"str","","John Day","Turtle Cove","","30.8","20.43","US","3","3"
"str","","Kaiparowits","","sandstone","83.5","70.6","US","7","30"
"str","","Kajlâka","","""limestone""","70.6","66","BG","1","2"
"str","","Kamp Ranch Limestone","","""limestone""","93.5","89.3","US","1","1"
"str","","Kanguk","","""shale""/sandstone","70.6","66","CA","2","2"
"str","","Kapthurin","","","2.588","0.0117","KE","1","1"
"str","","Karabastau","","""shale""","163.5","152.1","","1","1"
"str","","Katiki","","siltstone","83.5","66","NZ","1","1"
"str","","Kem Kem","","""limestone"",sandstone","100.5","89.3","MA","2","2"
"str","","Khadro","","sandstone","66","61.6","PK","1","1"
"str","","Khalagai","","","13.82","11.62","RU","1","6"
"str","","Khapry","","","5.333","2.588","RU","1","1"
"str","","Khaychin","","","48.6","37.2","MN","1","8"
"str","","Khilok","","sandstone","125","113","RU","1","1"
"str","","Khodzhakul","","sandstone/claystone","105.3","99.6","UZ","1","5"
"str","","Kingsdown","","","0.126","0.0117","US","1","15"
"str","","Kingsdown","lower","sandstone/siltstone,siltstone,sandstone","1.8","0.3","US","3","22"
"str","","Kingsdown","upper","siltstone","1.8","0.3","US","2","13"
"str","","Kopinge Sandstone","","sandstone","83.6","72.1","SE","1","2"
"str","","Korojon Calcarenite","","sandstone","72.1","66","AU","1","1"
"str","","Koum","Grés de Gaba","sandstone/mudstone","125","100.5","CM","1","1"
"str","","Krabi Basin B2","","lignite","37.2","33.9","TH","1","2"
"str","","Ksar Metlili","","""limestone""/sandstone","145","139.8","MA","1","4"
"str","","Kuldana","","conglomerate","47.8","41.3","PK","1","3"
"str","","Kunrade","","""limestone""","70.6","66","NL","1","1"
"str","","La Cabana","","""limestone""","99.6","93.5","ES","1","4"
"str","","La Colonia","","","72.1","66","AR","1","4"
"str","","La Huérguina","","""limestone""/packstone,""limestone""/lignite,siltstone","130","125.45","ES","3","14"
"str","","La Luna","","","93.9","89.8","VE","1","1"
"str","","La Luna","La Aguada","""shale""","100.5","93.9","VE","1","1"
"str","","La Pedrera de Rúbies","","""limestone""","129.4","125","ES","2","5"
"str","","Lagerdorf","","chalk","85.8","70.6","DE","1","1"
"str","","Laidmore","","sandstone","83.5","66","NZ","1","1"
"str","","Lameta","","claystone/sandstone,sandstone,claystone","72.1","66","IN","3","3"
"str","","Lameta","Lower Limestone","lime mudstone","72.1","66","IN","1","1"
"str","","Lance","","sandstone,mudstone,""shale"",sandstone/""shale""","70.6","66","US","21","95"
"str","","Laramie","","mudstone/sandstone","70.6","66","US","1","2"
"str","","Laredo","","sandstone","46.2","40.4","US","1","4"
"str","","Las Tetas de Cabra","","sandstone/siltstone","55.8","50.3","MX","1","3"
"str","","Lefkon","","conglomerate/marl,conglomerate/sandstone","8.7","5.333","GR","3","7"
"str","","Legetet","","","20.44","15.97","KE","3","4"
"str","","Lewis Shale","","""limestone""/mudstone","83.6","72.1","US","1","1"
"str","","Lignites de Soissonais","","","55.8","47.8","FR","3","21"
"str","","Loh","","sandstone/mudstone","11.608","5.333","MN","3","9"
"str","","London Clay","","claystone","55.8","48.6","UK","1","1"
"str","","London Clay","B","claystone","56","47.8","UK","1","1"
"str","","Long Pine","","siltstone","4.9","1.8","US","1","20"
"str","","Lopez de Bertodano","","siltstone/""carbonate""","70.6","66","AA","1","1"
"str","","Los Alamitos","","siltstone/sandstone","83.6","66","AR","1","3"
"str","","Lothidok","Kalodirr","","20.44","15.97","KE","1","1"
"str","","Lower Headon Beds","","claystone/marl,claystone","37.2","33.9","UK","2","9"
"str","","Lukeino","B","siltstone","7.246","5.333","KE","1","1"
"str","","Lushi","","marl/siltstone","48.6","37.2","CN","1","1"
"str","","M1, M2, D2, C1, C2 or LR","","""limestone""/conglomerate","3.6","2.588","MA","1","11"
"str","","Maastricht","Emael","","70.6","66","BE","1","1"
"str","","Maastricht","Nekum","chalk","70.6","66","NL","1","6"
"str","","Maboko","","","13.82","11.62","KE","5","10"
"str","","Madison Valley","Lower Clay","","15.97","13.6","US","1","1"
"str","","Maevarano","","","72.1","66","MG","5","7"
"str","","Maevarano","Anembalemba","sandstone","72.1","66","MG","16","22"
"str","","Maevarano","Lac Kinkony","claystone/sandstone","72.1","66","MG","1","2"
"str","","Manasquan","","","56","47.8","US","1","1"
"str","","Mancos Shale","Prairie Canyon","siltstone","83.5","70.6","US","1","1"
"str","","Marlbrook Marl","","marl","72.1","66","US","1","1"
"str","","Marnes d'Auzas","","sandstone/marl,marl/sandstone,sandstone/lime mudstone","70.6","66","FR","3","4"
"str","","Mazantic Shale","","amber","23.03","15.97","MX","1","1"
"str","","Mazaterón","","marl/sandstone","48.6","37.2","ES","1","1"
"str","","McPherson","","","1.8","0.3","US","2","15"
"str","","Mendez","","marl","86.3","83.6","MX","1","1"
"str","","Mendikdere","","siltstone","28.1","20.44","TR","1","1"
"str","","Merchantville","","sandstone","83.5","70.6","US","1","2"
"str","","Mesaverde","","conglomerate/sandstone,sandstone","83.5","70.6","US","3","3"
"str","","Messel","","""shale"",claystone","48.6","40.4","DE","3","7"
"str","","Meudon","","conglomerate","55.8","48.6","FR","1","2"
"str","","Milk River","Deadhorse Coulee","sandstone/""shale""","85.8","83.5","CA","5","17"
"str","","Miria Marl","","sandstone","72.1","66","AU","1","2"
"str","","Mishash","","phosphorite","83.6","66","IL","1","1"
"str","","Mission Valley","","siltstone","46.2","40.4","US","3","4"
